#{"t_start": 1639986889.9369712, "env_id": null}
r,l,t
-3.58618,311,2.360206
-8.046925,586,6.516034
-4.58927,356,9.270029
-32.873057,3836,39.444633
-18.247032,2285,55.348413
-18.673119,2033,70.977666
-4.506537,614,76.120219
-6.575121,727,82.153509
-16.047754,1912,98.248698
-7.819913,768,104.505075
-13.131783,1201,114.142821
-3.959274,259,116.43595
-4.459737,255,118.67919
-9.776669,1120,127.595875
-7.325267,874,135.548816
-4.147097,329,138.369335
-25.714363,4001,170.344352
-13.773797,1372,181.321619
-27.101194,3876,212.766629
-12.482072,1523,224.985169
-3.270251,832,232.695028
-3.555775,532,237.126699
-6.862379,2025,253.326965
-5.172429,1000,261.449696
-3.868991,2360,281.144376
-5.56981,1310,291.782926
-2.320255,25,292.314919
0.908337,3475,320.75918
-5.357297,1258,331.956829
-7.111678,884,339.224776
-1.10005,369,342.416153
-2.011399,430,346.294405
-2.309069,23,346.839478
-2.224811,23,347.367818
-2.252988,23,347.889745
-2.280349,23,348.410127
-1.574939,528,353.003075
-6.084812,1828,368.653479
-1.881329,330,371.530663
7.525964,1365,382.517147
3.627652,1471,394.385145
2.337073,1190,405.138707
-3.966676,570,409.919609
-0.639711,782,416.52261
10.229746,1590,429.627019
-1.355323,282,432.155113
1.378001,1343,444.237441
10.461526,2485,464.325844
-0.955374,534,468.897059
0.329503,455,473.780973
-1.129658,171,475.48074
-0.320872,171,477.148149
1.393588,821,487.829537
-0.814802,365,491.014849
-2.2141,27,491.558701
-1.463424,310,494.313182
-1.127014,120,495.570554
0.196108,429,499.288892
3.595178,1005,507.720248
-2.511471,396,511.197069
-1.781019,127,513.415464
-0.305629,581,518.373801
11.09679,1431,530.186298
2.274626,764,1764.535135
-0.282735,367,1767.551837
2.199155,557,1771.720844
1.53119,1009,1779.68994
-1.044001,543,1783.755561
-0.562413,222,1785.589866
3.246426,792,1791.355771
3.880751,1026,1799.425815
1.117883,368,1802.462329
-0.076031,254,1804.652904
-0.717434,378,1808.834317
0.849272,389,1812.51952
1.018347,517,1816.798356
2.121082,548,1820.90588
0.787392,262,1823.074271
4.353716,505,1827.115204
-2.242206,24,1827.67455
2.699726,567,1832.000455
1.471519,563,1836.472338
1.122736,469,1840.195444
3.627671,552,1845.287786
20.402807,2266,1862.118058
15.939461,1960,1876.892968
4.099625,897,1883.459718
3.60442,518,1887.457605
-0.22732,203,1889.263157
10.578899,961,1896.705824
1.191856,323,1899.337181
11.008443,1707,1913.310333
0.840149,349,1916.096263
1.0058,271,1918.30548
9.901021,1012,1925.833307
3.659692,564,1930.193589
15.103524,1602,1942.907395
15.174271,1483,1953.659276
16.941469,1554,1964.904
0.264441,291,1968.196258
15.929745,1383,1978.329083
17.659799,1391,1988.927143
2.515161,540,1993.173227
2.341909,443,1997.343042
54.444462,3679,2030.617171
53.164451,3287,2054.836879
12.882347,740,2060.373836
3.495589,457,2063.893078
2.078315,320,2067.18153
15.09148,1042,2074.888772
31.078014,1823,2088.353795
40.30773,2259,2105.430337
59.174128,3897,2137.076171
23.074573,1238,2147.71395
2.237774,262,2150.171482
5.627381,458,2154.332743
15.155789,855,2161.972987
12.090583,618,2169.717281
1.211538,265,2173.117033
-0.072686,162,2175.260342
15.411749,776,2184.761015
31.241433,1592,2199.569046
-0.47521,176,2201.395171
24.86588,1304,2214.356899
38.473003,1940,2231.154037
0.165898,146,2232.669597
1.969595,240,2234.988151
19.5466,1020,2243.860649
55.716878,2878,2269.408727
45.415083,2312,2290.139505
70.663579,3791,2323.664457
29.851667,1488,2338.746447
14.339685,705,2345.034575
2.106364,247,2347.461818
77.482486,4001,2385.416616
79.156072,4001,2432.147077
1.889834,268,2435.726402
4.254,368,2440.448822
18.44909,921,2452.242881
79.185529,4001,2495.842363
30.410482,1509,2514.365374
0.279926,152,2516.195349
-2.173178,26,2516.783446
6.719909,498,2521.443104
0.715393,197,2523.536565
19.529231,963,2532.419586
78.201872,4001,2568.882767
15.236929,834,2576.96134
66.810325,3370,2612.751673
30.385658,1489,2629.069114
36.762275,1844,2647.786614
62.253611,3137,2680.19953
27.632876,1361,2692.649378
26.773431,1329,2707.928428
34.569089,1713,2725.337633
32.63457,1602,2741.605282
2.971023,377,2745.699864
6.156332,452,2751.759281
16.559027,774,2759.773167
14.478815,667,2766.736833
26.614624,1265,2779.916834
80.526063,4001,2822.077152
80.260427,4001,2864.018681
46.038765,2282,2888.677229
17.771719,865,2897.771774
65.664002,3284,2932.570509
4.508673,356,2936.489765
13.124422,616,2943.070768
18.705265,888,2952.449064
-0.359812,126,2954.068629
9.798598,451,2959.155385
80.057612,4001,3001.843036
22.04938,1055,3014.04485
16.084848,753,3022.103515
40.547211,1999,3041.56621
80.81383,4001,3078.259861
1.390061,217,3080.620987
0.070622,156,3082.37729
5.541904,425,3086.875703
31.072607,1509,3106.146441
12.717189,581,3112.503075
29.626998,1444,3127.652317
1.911353,232,3130.146947
29.068666,1398,3146.52588
13.413917,607,3153.888205
2.678328,261,3156.970106
81.042862,4001,3200.519899
18.660542,891,3209.03721
80.358617,4001,3247.198789
19.314567,920,3256.037559
66.408174,3255,3287.39888
43.89655,2148,3308.590771
80.25861,4001,3346.749363
81.609409,4001,3385.536922
0.703477,190,3387.693436
46.663861,2290,3410.232889
70.934098,3501,3465.065515
40.777063,1993,3484.970827
50.861341,2495,3508.416379
81.560643,4001,3546.69182
80.929795,4001,3585.090351
80.724773,4001,3623.605098
29.92083,1431,3637.314484
44.57762,2216,3659.298826
80.890838,4001,3697.603814
81.146851,4001,3735.659423
0.829785,203,3737.803269
5.117831,408,3741.875425
40.620724,2015,3762.646152
62.888371,3063,3791.117669
59.642629,2918,3819.664229
35.787837,1722,3835.957098
36.587024,1790,3853.66543
82.446843,4001,3891.701459
81.022152,4001,3929.297012
38.424079,1848,3946.484406
81.222975,4001,3984.312931
81.839803,4001,4022.533511
26.042086,1211,4034.941593
81.893507,4001,4072.066134
80.850355,4001,4110.393683
73.908818,3625,4145.544385
81.544829,4001,4184.775982
81.834244,4001,4223.84635
81.791778,4001,4262.848401
32.460816,1557,4278.734917
82.018885,4001,4317.482232
82.63058,4001,4356.244214
15.421082,697,4363.106592
83.15758,4001,4402.120842
82.557844,4001,4442.251362
80.888617,3919,4480.501908
20.483805,945,4489.767658
64.711701,3093,4520.344629
13.721688,608,4526.325346
82.759865,4001,4565.203875
83.150279,4001,4604.032601
38.020161,1803,4621.24777
83.359285,4001,4660.331778
3.000102,284,4663.316997
82.495534,4001,4702.692516
82.580766,4001,4742.259001
83.532859,4001,4781.639724
83.308916,4001,4821.222729
83.752761,4001,4860.929204
83.925676,4001,4900.912594
83.958359,4001,4941.383973
84.003634,4001,5015.796132
81.360753,3863,5062.971872
83.871432,4001,5109.840718
16.730479,744,5118.487677
84.900054,4001,5176.929629
84.599862,4001,5231.298297
84.833922,4001,5285.840248
48.906356,2267,5317.358464
84.805361,4001,5372.261302
85.591216,4001,5426.408684
85.624564,4001,5480.855735
85.417537,4001,5535.555617
85.198974,4001,5590.507209
85.601033,4001,5645.198458
85.204712,4001,5699.736318
63.072095,2963,5739.608171
85.959012,4001,5794.870308
86.429167,4001,5852.098556
85.423745,4001,5908.423155
85.734703,4001,5964.041342
86.027574,4001,6019.291926
86.860556,4001,6075.034452
86.871066,4001,6130.684467
86.400615,4001,6185.626597
86.83333,4001,6241.859512
13.100002,565,6249.786945
49.427274,2245,6279.402822
88.091265,4001,6331.029134
87.483022,4001,6386.853109
44.046312,1970,6411.061224
87.903045,4001,6461.931734
87.226197,4001,6518.452208
88.631946,4001,6575.858974
88.395046,4001,6633.140866
88.485427,4001,6690.804393
88.732206,4001,6751.598416
89.144668,4001,6810.868341
5.422809,386,6816.778944
84.862837,3853,6875.134549
88.754395,4001,6935.648322
59.972736,2680,6976.517673
32.286342,1444,6997.774706
89.146172,4001,7052.116278
88.705422,4001,7104.414454
89.315162,4001,7156.753146
89.383363,4001,7207.589855
88.754051,4001,7296.430795
89.336163,4001,7354.65713
89.347601,4001,7413.013414
50.24012,2223,7444.992182
89.636879,4001,7503.774878
29.598606,1288,7523.826535
33.8021,1471,7545.36912
28.352747,1233,7562.875327
89.953692,4001,7622.408124
90.50801,4001,7681.766082
38.330398,1658,7707.355284
90.464684,4001,7767.966088
90.395788,4001,7827.095166
90.112644,4001,7883.874568
90.308629,4001,7961.984384
72.495774,3186,8034.544806
91.361055,4001,8162.110778
91.408227,4001,8269.378622
91.065919,4001,8373.582196
91.239043,4001,8476.294942
91.203009,4001,8585.384488
28.694011,1210,8621.15447
91.645161,4001,8733.907759
91.799057,4001,8844.524181
73.809627,3207,8926.164981
92.043956,4001,9029.824122
91.919526,4001,9149.216034
92.241205,4001,9259.621318
92.190303,4001,9373.814289
92.494248,4001,9544.417842
86.48032,3720,9620.413276
47.817325,2045,9662.023146
92.987354,4001,9741.243011
11.502573,455,9750.686392
92.749953,4001,9836.577658
93.234096,4001,9921.169383
3.523991,288,9927.696262
12.594252,502,9938.578502
93.477206,4001,10022.286688
92.839334,4001,10107.190542
93.58683,4001,10191.214561
24.364646,1002,10212.298223
57.158222,2433,10257.045769
93.221351,4001,10326.393054
93.678646,4001,10393.538196
93.297338,4001,10461.027678
75.135927,3192,10515.723686
93.358482,4001,10585.575784
53.970621,2269,10624.563144
93.69545,4001,10693.358608
93.747881,4001,10769.834902
72.650981,3076,10823.689121
39.392498,1651,10848.125465
88.044151,3735,10910.334786
94.213646,4001,10975.504325
94.716632,4001,11033.210814
-0.46641,95,11034.914529
94.511876,4001,11102.930171
18.165582,735,11115.849148
72.884384,3061,11169.557496
94.603108,4001,11239.011122
73.085949,3094,11291.016961
73.485703,3081,11344.935378
94.630807,4001,11404.414686
95.070056,4001,11463.592976
95.232014,4001,11522.4959
95.058219,4001,11586.757322
95.514383,4001,11656.182317
95.562153,4001,11728.12435
95.789078,4001,11798.456945
95.363039,4001,11872.820527
96.113048,4001,11942.858217
6.860183,402,11950.03743
95.895526,4001,12023.739043
96.411704,4001,12094.884113
39.334396,1595,12122.879909
96.144707,4001,12193.20751
96.340066,4001,12263.438344
96.733344,4001,12333.784939
96.584516,4001,12407.945238
96.764456,4001,12479.654381
12.351392,462,12487.78617
-1.094701,76,12489.425364
96.415886,4001,12559.573104
3.599844,261,12564.504268
96.890327,4001,12634.249535
96.908289,4001,12704.737309
87.219619,3628,12768.822823
96.470662,4001,12838.804274
21.965911,866,12855.387851
81.054481,3350,12919.068111
97.06872,4001,12996.165496
97.157127,4001,13067.52068
97.041425,4001,13139.319849
91.575829,3766,13209.657696
96.964552,4001,13281.377921
97.421859,4001,13353.692062
97.404514,4001,13425.881256
6.88972,393,13433.298448
-0.567816,109,13435.566634
97.683797,4001,13507.388592
97.466257,4001,13578.350913
46.252356,1873,13612.341076
97.632037,4001,13678.082124
97.437568,4001,13740.216897
97.527572,4001,13801.462872
97.796277,4001,13864.096836
98.170383,4001,13926.792739
97.804187,4001,13990.578938
97.980122,4001,14052.833053
98.097878,4001,14115.399632
98.191185,4001,14180.395734
98.077246,4001,14253.375189
98.09116,4001,14326.467352
98.383218,4001,14400.852634
98.159393,4001,14468.464644
98.517987,4001,14531.749118
98.355447,4001,14598.63732
98.209023,4001,14671.746154
98.4985,4001,14745.148845
98.13496,4001,14818.652911
98.120348,4001,14892.534478
0.183527,118,14895.078188
98.549646,4001,14966.527672
98.232461,4001,15040.870453
98.373762,4001,15114.521327
98.643402,4001,15188.992352
98.653839,4001,15264.2658
99.08647,4001,15339.638681
99.161882,4001,15415.347251
99.162229,4001,15489.619483
98.810619,4001,15565.74447
99.248338,4001,15641.417831
