#{"t_start": 1641218360.465861, "env_id": null}
r,l,t
-13.806989,945,16.421688
-7.516505,1001,33.538996
-3.556753,540,42.634158
-5.207759,1001,59.395121
-13.692237,931,74.983717
-6.074458,1001,93.262779
-9.360687,1001,112.806608
-5.840518,238,118.22836
-3.904654,1001,138.052233
-5.632607,1001,159.113297
-6.428984,1001,180.766553
-2.329785,621,196.977105
-5.93149,1001,217.243168
-2.559363,501,226.654194
-6.351624,306,233.28658
-6.733946,634,246.019802
-3.839261,486,256.019225
-6.170016,1001,276.162357
-4.06883,1001,296.427261
-4.108411,1001,317.033566
-0.261989,1001,338.191401
-0.962149,1001,359.428997
3.719563,1001,380.648263
-4.174593,1001,401.882653
-2.953023,905,421.344123
-0.84279,1001,442.445096
-3.11211,903,461.79231
1.642852,1001,483.169715
-2.031774,1001,505.418099
2.639725,902,525.294993
6.299395,1001,547.184326
-0.029444,160,550.598569
-0.79468,702,566.470689
6.719319,1001,588.291354
2.920652,1001,610.185821
5.828725,526,621.744934
-0.867525,242,627.141933
-0.663847,706,643.807405
6.308219,1001,666.35355
3.943037,1001,689.091533
3.073719,552,702.206602
2.06614,1001,725.105298
8.186593,1001,746.94851
0.651466,197,752.886954
6.059247,1001,776.407856
4.256445,361,784.517027
0.387083,793,804.206663
7.710277,1001,827.722704
3.064356,350,836.365768
2.742013,372,845.55203
0.304306,148,849.928021
1.884099,224,856.040114
0.632508,393,865.143654
4.569178,736,883.521578
14.532139,724,901.376199
11.036741,1001,926.26245
1.097279,238,932.027761
11.199837,536,944.610319
10.286327,936,968.280018
-0.144458,114,971.411735
1.378663,226,977.980124
5.144376,416,988.389822
14.485235,1001,1013.983654
13.998485,773,1033.469881
4.44777,391,1043.361412
12.348187,598,1058.885805
1.506346,214,1064.314981
4.299478,357,1073.588448
19.373854,1001,1098.925056
8.102347,569,1113.221628
14.372682,1001,1138.70196
13.35027,618,1153.871449
3.408434,298,1162.524278
20.231371,1001,1188.264481
3.163469,302,1195.492815
13.638391,728,1214.620665
15.733809,928,1238.276858
1.956656,353,1247.051677
19.636808,1001,1272.911079
2.54815,596,1287.661839
20.362257,1001,1313.350146
18.276047,903,1336.951027
7.142932,1001,1363.469014
18.764308,996,1389.460318
14.665353,1001,1415.907148
1.84269,223,1421.934753
20.043849,1001,1448.341361
19.544222,930,1473.525891
11.512369,533,1488.113333
19.768587,1001,1515.682914
1.572848,198,1521.040633
12.796324,575,1538.777808
19.159527,912,1568.009835
5.488489,431,1581.172775
1.283217,182,1586.746318
15.515435,727,1610.687221
20.314716,1001,1644.627601
5.791065,437,1658.981089
15.052178,795,1685.477921
4.49801,361,1696.77411
18.064164,1001,1731.401135
20.439856,1001,1762.488281
15.664052,752,1788.917498
9.61192,414,1805.831192
11.046019,489,1823.44655
16.61417,1001,1856.215685
20.831322,1001,1887.541576
20.847772,1001,1919.999976
2.258864,245,1927.242448
11.671859,545,1945.797906
20.853988,1001,1978.195308
20.308209,1001,2011.288139
20.826207,1001,2045.254513
15.24544,714,2067.514221
11.594722,522,2083.480512
20.947426,1001,2113.828129
19.081198,907,2142.029375
20.809281,1001,2174.641556
19.442233,1001,2208.233711
20.851194,1001,2239.495228
11.211282,495,2254.319443
20.180501,1001,2284.669841
21.017639,1001,2314.65814
20.945803,1001,2345.017684
20.838446,1001,2375.732673
20.84866,1001,2406.175627
20.618361,1001,2436.550262
20.955792,1001,2468.142309
20.840831,1001,2499.117442
20.845539,1001,2530.009665
20.690977,1001,2561.762172
20.950715,1001,2593.535731
20.901956,1001,2625.351465
14.040068,643,2645.05134
20.925694,1001,2677.06993
20.818477,1001,2708.893327
20.855867,1001,2741.121868
20.876632,1001,2773.783477
20.908578,1001,2806.54759
20.78279,1001,2839.205342
20.988295,1001,2871.490895
6.792863,470,2887.214136
20.96358,1001,2919.927414
20.978532,1001,2953.308657
20.959854,1001,2986.669194
21.012769,1001,3020.529556
20.869001,1001,3056.474298
20.98034,1001,3092.887313
21.012643,1001,3126.462818
20.908745,1001,3160.506271
21.004027,1001,3192.853585
20.949854,1001,3224.328127
21.035263,1001,3258.167788
20.820376,1001,3292.573424
21.000465,1001,3326.586283
20.84342,1001,3360.740666
21.015936,1001,3394.995085
21.036611,1001,3429.380543
21.0467,1001,3464.278916
21.073979,1001,3498.890929
21.015442,1001,3533.452601
21.038146,1001,3567.648603
21.093696,1001,3602.450224
20.974968,1001,3637.558927
21.05995,1001,3672.665131
20.99884,1001,3707.869773
21.071025,1001,3743.417459
16.852452,788,3771.649575
21.019575,1001,3806.875873
21.09244,1001,3842.592467
21.11162,1001,3878.302669
7.632485,516,3896.164387
21.145398,1001,3931.981913
21.14005,1001,3967.757504
20.96251,1001,4004.638258
21.057407,1001,4041.204195
21.124016,1001,4077.413535
20.995502,1001,4114.334903
21.137872,1001,4150.589968
21.084021,1001,4187.527854
21.130507,1001,4224.482111
21.126098,1001,4261.87066
21.047076,1001,4298.708999
21.131123,1001,4335.84483
21.14554,1001,4372.934637
21.147566,1001,4410.530478
21.137402,1001,4448.460468
21.128426,1001,4486.394364
21.142259,1001,4524.43737
21.097646,1001,4562.577474
21.196453,1001,4600.604241
21.140741,1001,4638.677179
21.160709,1001,4676.423654
21.184511,1001,4714.577113
21.205509,1001,4752.83814
21.220215,1001,4791.229497
21.171829,1001,4828.256928
21.219216,1001,4867.808507
21.175729,1001,4906.839907
21.06037,1001,4945.804365
21.223326,1001,4985.008972
21.181247,1001,5024.353205
21.165836,1001,5063.936316
21.156221,1001,5104.034935
21.217391,1001,5143.851485
21.279814,1001,5183.460521
20.950087,1001,5223.613738
21.292179,1001,5263.639192
21.273432,1001,5303.553663
21.317702,1001,5343.200916
21.286788,1001,5382.643304
21.245943,1001,5424.368317
21.29391,1001,5464.625316
21.251386,1001,5505.256916
21.304478,1001,5545.737933
21.286549,1001,5586.911034
21.303945,1001,5628.131129
21.302207,1001,5669.653655
21.297899,1001,5711.147101
21.344614,1001,5752.876871
21.295544,1001,5795.022282
21.312122,1001,5837.062747
21.291283,1001,5879.225716
21.291715,1001,5920.484566
21.348541,1001,5962.197049
21.337848,1001,6004.041636
21.292374,1001,6046.280328
21.321334,1001,6088.430486
21.30844,1001,6130.585788
21.357399,1001,6173.11552
21.322454,1001,6215.455894
14.041825,627,6242.68397
21.380352,1001,6284.662023
21.29717,1001,6326.185047
21.392914,1001,6368.209591
21.145207,1001,6410.608945
2.449855,237,6420.340136
21.36485,1001,6462.625894
21.364547,1001,6505.615345
21.320185,1001,6548.486362
21.36979,1001,6591.669761
21.412092,1001,6634.831451
21.350699,1001,6677.597379
21.347492,1001,6720.684066
21.355829,1001,6763.869403
21.350867,1001,6806.607638
21.308563,1001,6849.77544
21.39009,1001,6893.335197
21.371438,1001,6937.593418
21.366403,1001,6980.313551
21.336363,1001,7024.364806
21.419173,1001,7067.976854
21.392359,1001,7111.931888
21.368928,1001,7155.352841
21.415612,1001,7199.002665
21.27053,1001,7243.735011
21.438645,1001,7289.944634
21.350822,1001,7335.124007
21.393617,1001,7380.385892
21.402907,1001,7427.182773
21.427364,1001,7472.405668
21.391477,1001,7517.82523
21.424607,1001,7562.582003
21.370716,1001,7608.36175
21.385627,1001,7654.157321
21.424948,1001,7700.641657
21.46056,1001,7746.066961
21.395938,1001,7792.326448
21.429176,1001,7837.188908
21.473292,1001,7882.707875
21.428864,1001,7927.866076
21.482031,1001,7973.446286
21.442407,1001,8019.345557
21.488698,1001,8065.340644
21.454911,1001,8111.613374
21.459953,1001,8158.034925
21.442025,1001,8204.327246
21.498359,1001,8250.220055
21.482768,1001,8296.170818
21.485723,1001,8341.196702
21.439646,1001,8385.876613
21.501695,1001,8432.433739
21.49321,1001,8479.20191
21.445673,1001,8524.551883
21.466992,1001,8571.447624
